ig acc name,date of scraping,bio,no. of post,no. of follower,posts in last week,average likes per posts
179cm.korea,30/1/2024,"Made in Korea
Quality Over Everything.
�
??3????|?????4????
??????????
DM ??| ??????",556,26458,0,0
2.pm_store,30/1/2024,"???????????
153cm - 167cm model????
?
?????$1000????????
????23:59??
?????????
????/ ????
?
?????????????????????????????
???????????????/??????
?
????????",401,11780,0,0
82closet,30/1/2024,"?? All from Korea 
?? Unisex & woman�s wear
?? ?????????highlight story",295,16699,0,0
__deerest,30/1/2024,"?
???????highlight?1??????
????????????????
????? ??????
.
???700????
? ?? : whatsapp 51929112
.
??????",1662,60641,4,40.25
acme.co_,30/1/2024,"�
Style your life with the simplest items?
�
Order/Any enquirers
DM/WhatsApp
�
??Payment 
HSBC/BOC/PAYME",300,12051,0,0
ajournal.wear,30/1/2024,"? ?? Showroom / ?????story
? 100% ?????????????? ???????? ??????????
? ???????????????? ???????????????? (????)
? ????????
? ?????????????20?7B",754,32269,7,112.2857143
blackmodes_,30/1/2024,"????????2?95? 3?88?????
?????? ???????? ???? ??????????
??????????????? 
2023????(??0009?0010)
?
??????
???????2?236??
???????700?T.O.P 3/F 318?
??????????????16?10?",2545,64611,0,0
chichistorehk,30/1/2024,"??? ? ? ???
?? ?? $?? ??
?? ?? $?? ??
?? ?? $?? ?? ??
?????????? ????????
?????? ?? ?? % ? ? ? ? 
�������������
?????????
????????",1581,16672,0,0
clodayshk,30/1/2024,"@clodayshk @clodayss 
?????????? | ??????
??????HKD$800????VIP
���
????Whatsapp 5717 8232 / Dm
?????? ????$600??????
??Tap&Go / PayMe /??????",412,10521,0,0
concept_kimbo,30/1/2024,"???$299?????
???? & ????
????????
????ApplePay/ Payme/???/????
????????
??????????
.
??:IG DM/ Wts55116559
???7-14?????
????2941787",127,5915,0,0
cornerc.co,30/1/2024,"????.??.????????????
???????-??????, ??-?????? ??????-??????,??-??:?????????
?
??????????$500????????9????
?????WhatsApp ?+?????? ???? ?????? ?????? ???",1876,98331,6,438.5
delunaboutique,30/1/2024,"? Hello 2024 ? New Season
?? ?????????????
?????????? ?????????
-
WhatsApp +852 46079931
?????????7-21???
?? @deluna.luxury 
-
??????????????OK .?.?",485,24366,0,0
