@odata.etag,ItemInternalId,Shop,Target Gender,Category,Followers,Last posting date,Date,Website,Type,__PowerAppsId__
,,hisso,Unisex,Local,146K,45298,45298,hisso.com.hk,Brand,
,,fumble_official,Unisex,streetwear/citywear,51K,45297,45298,https://www.fumble.com.hk/,Brand,
,,little.breezee,F,JP/Korea,24K,45383,45298,,,
,,2.pm_store,F,Korea,11K,15/12/2023,45298,,,
,,in.a.stone_men,M,Korea,11K,45292,45298,,,
,,in.a.stone,F,Korea,36K,45293,45298,,,
,,fungus_hk,Unisex,Local/streetwear,6.1K,45276,45298,,,
,,3amproduccion,F,JP/Korea,65K,45282,45298,,,
,,kumo.shiroii,F,Korea,17K,45298,45298,,,
,,pear.petal,F (Unisex),JP/Korea,8.2K,45288,45298,,,
,,f0r.every0ne,F,Korea,22K,45281,45298,,,
,,clodayshk,F,Korea,10K,45287,45298,,,
,,delunaboutique,F,Korea,24K,45282,45298,,,
,,dzagedesigns,F,Cosy (JP/Korea),52K,45297,45298,,,
,,hugland.co,F,JP/Korea,10K,45296,45298,,,
,,wardrobe.hk,F,Korea,18K,45274,45298,,,
,,inscoo.studio,F,Local/streetwear,28K,45297,45298,,,
,,timefault.hk,Unisex,Vintage/streetwear,58K,45298,45298,,,
,,blackmodes_,F,Korea,64K,45296,45298,,,
,,sense_store,F,Local/streetwear,99K,45297,45298,,,
,,__deerest,F,Korea,60K,45296,45298,,,
,,chichistorehk,F,JP,16K,45296,45298,,,
,,onion.hk,F,JP,11K,45297,45298,,,
,,dwilapparels,F,Korea,66K,45298,45298,,,
,,koreal.apparel,F,Korea,1.5K,45254,45298,,,
,,sercoserco.ss,F,Korea,211K,45297,45298,,,
,,ajournal.wear,F,Korea,31K,45295,45298,,,
,,lumos_mo,F,JP,4.7K,45294,45298,,,
,,acme.co_,F,Korea,11K,45298,45298,,,
,,sibling_co,F,Korea,16K,45297,45298,,,
,,cornerc.co,F,Korea,98K,45297,45298,,,
,,hiyori_store,F,Japan,14K,45296,45298,,,
,,mormor_s,F,Japan,56K,45201,45298,,,
,,82closet,F,Japan/streetwear/retro-futuristic,16K,45298,45298,,,
,,sunflower___club,F,black&white/girlish swag,18K,45288,45298,,,
,,mody.closet,F,daily/quality,16K,45270,45298,,,
,,whoops.hk,F,Local,31K,45297,45298,,,
,,moonlightgangsters,F,Harajuku,14K,45288,45298,,,
,,maum.kr,F,Korea/minimal,24K,45297,45298,,,
,,sillyegg.vintage,M,Vintage/streetwear,20K,45298,45298,,,
,,two.collection,F,Local,84K,45297,45298,,,
,,tactual.hk,M,Korea,12K,45296,45298,,,
,,iiinlab,M,Local/Korea,81K,45297,45298,,,
,,onece.co,M,Korea,69K,45298,45298,,,
,,179cm.korea,M,Korea,25K,45295,45298,,,
,,downshifting_hk,Unisex,streetwear/citywear,12K,45296,45298,,,
,,concept_kimbo,M,Korea,5K,45293,45298,,,
,,dress.code_hk,M,Korea,3.6K,45297,45298,,,
,,checkorea,F,Korea,13K,45298,45298,,,
,,soulo.hk,F,Korea,5K,45266,45298,,,
,,oaknus,F,Korea,7K,45281,45298,,,
,,sugu.hk,F,Korea,22K,45276,45298,,,
,,ppicnich,F,Korea,18K,45292,45298,,,
,,lilybshopp,F,JP,5.4K,45298,45298,,,
,,lady.chesna,F,Jp,3.8K,45298,45298,,,
,,mythsvintage,Unisex,Vintage/streetwear,3.8K,45294,45304,,,
,,_attictreasure,Unisex,Vintage/streetwear,800,45300,45304,,,
,,keepglowing_clothes,F,Korea,3.3K,45303,45304,,,
,,epoch.vintagehk,Unisex,Vintage/streetwear,10K,45296,45304,,,
,,2097.co,Unisex,Korea/Local,29K,45303,45304,,,
,,cerealoutfit,F,Streetwear/Local,158K,45303,45304,,,
,,onsaturday___,F,Korea & Japan,67K,45282,45304,,,
,,airspacetaiwan,F,TW,343K,45308,45318,https://www.airspaceonline.com/,,
,,queenshoplife,Unisex,TW,267K,45317,45318,https://www.queenshop.com.tw/,,
,,lipservice_official,F,Japan,76K,45328,45328,,,
,,tittyandco_com,F,Japan,186K,45323,45328,,,
,,chico__official___,F,Japan,417K,45327,45328,,,
,,wclosetwearsinc,F,Japan,269K,45327,45328,,,
,,andmary_official,F,Japan,63K,45189,45328,,,
,,doublename_official,Unisex,Japan,22K,45327,45328,,,
,,spiralgirl_official,F,Japan,70K,45327,45328,,,
,,darich_official,F,Kr/Jp,210K,45327,45328,,,
,,eimyistoire_snap,F,Japan,34K,45250,45328,,,
