@odata.etag,ItemInternalId,Shop,Target Gender,Category,Followers,Last posting date,Date,Website,Type,__PowerAppsId__
,,hissohk,Unisex,Local,146K,45298,45298,hisso.com.hk,Brand,
,,fumble_official,Unisex,streetwear/citywear,51K,45297,45298,https://www.fumble.com.hk/,Brand,
,,little.breezee,F,JP/Korea,24K,45383,45298,,,
,,2.pm_store,F,Korea,11K,15/12/2023,45298,,,
,,in.a.stone_men,M,Korea,11K,45292,45298,,,
,,in.a.stone,F,Korea,36K,45293,45298,,,
,,fungus_hk,Unisex,Local/streetwear,6.1K,45276,45298,,,
,,3amproduccion,F,JP/Korea,65K,45282,45298,,,
,,kumo.shiroii,F,Korea,17K,45298,45298,,,
,,pear.petal,F (Unisex),JP/Korea,8.2K,45288,45298,,,
,,f0r.every0ne,F,Korea,22K,45281,45298,,,
,,clodayshk,F,Korea,10K,45287,45298,,,
,,delunaboutique,F,Korea,24K,45282,45298,,,
,,dzagedesigns,F,Cosy (JP/Korea),52K,45297,45298,,,
,,hugland.co,F,JP/Korea,10K,45296,45298,,,
,,wardrobe.hk,F,Korea,18K,45274,45298,,,
,,inscoo.studio,F,Local/streetwear,28K,45297,45298,,,
,,timefault.hk,Unisex,Vintage/streetwear,58K,45298,45298,,,
,,blackmodes_,F,Korea,64K,45296,45298,,,
,,sense_store,F,Local/streetwear,99K,45297,45298,,,
